date,semester,rank,team,acronym,total.points,previous.points,diff.points
2024,2,1,Argentina,ARG,1867.25,1883.5,-16.25
2024,2,2,France,FRA,1859.78,1859.85,-0.07
2024,2,3,Spain,ESP,1853.27,1844.33,8.94000000000005
2024,2,4,England,ENG,1813.81,1807.83,5.98000000000002
2024,2,5,Brazil,BRA,1775.85,1784.37,-8.52
2024,2,6,Portugal,POR,1756.12,1752.68,3.43999999999983
2024,2,7,Netherlands,NED,1747.55,1748.24,-0.69
2024,2,8,Belgium,BEL,1740.62,1761.27,-20.65
2024,2,9,Italy,ITA,1731.51,1729.4,2.1099999999999
2024,2,10,Germany,GER,1703.79,1703.59,0.200000000000045
2024,2,11,Uruguay,URU,1695.91,1680.36,15.5500000000002
2024,2,12,Colombia,COL,1694.44,1724.37,-29.93
2024,2,13,Croatia,CRO,1691.59,1701.36,-9.77
2024,2,14,Morocco,MAR,1688.18,1681.57,6.61000000000013
2024,2,15,Japan,JPN,1652.79,1645.09,7.70000000000005
2024,2,16,USA,USA,1645.48,1630.97,14.51
2024,2,17,Senegal,SEN,1637.25,1627.13,10.1199999999999
2024,2,18,IR Iran,IRN,1635.31,1627.58,7.73000000000002
2024,2,19,Mexico,MEX,1627.4,1640.67,-13.27
2024,2,20,Switzerland,SUI,1625.16,1631.38,-6.22
2024,2,21,Denmark,DEN,1611.49,1617.34,-5.85
2024,2,22,Austria,AUT,1589.84,1589.17,0.669999999999845
2024,2,23,Korea Republic,KOR,1585.45,1589.93,-4.48
2024,2,24,Ecuador,ECU,1560.13,1536.32,23.8100000000002
2024,2,25,Ukraine,UKR,1554.94,1552.37,2.57000000000016
2024,2,26,Australia,AUS,1544.15,1552.77,-8.62
2024,2,27,Sweden,SWE,1540.2,1530.41,9.78999999999996
2024,2,28,Türkiye,TUR,1537.24,1548.15,-10.91
2024,2,29,Wales,WAL,1534.39,1528.96,5.43000000000006
2024,2,30,Hungary,HUN,1517.57,1519.33,-1.76
2024,2,31,Canada,CAN,1515.96,1507.27,8.69000000000005
2024,2,32,Serbia,SRB,1514.28,1511.16,3.11999999999989
2024,2,33,Egypt,EGY,1513.48,1526.25,-12.77
2024,2,34,Russia,RUS,1512.32,1508.73,3.58999999999992
2024,2,35,Poland,POL,1510.62,1523.19,-12.57
2024,2,36,Panama,PAN,1504.39,1493.8,10.5900000000001
2024,2,37,Algeria,ALG,1495.85,1496.94,-1.09
2024,2,38,Romania,ROU,1494.2,1487.22,6.98000000000002
2024,2,39,Greece,GRE,1489.88,1487.42,2.46000000000004
2024,2,40,Peru,PER,1488.42,1494.24,-5.82
2024,2,41,Slovakia,SVK,1486.19,1489.88,-3.69
2024,2,42,Czechia,CZE,1484.88,1480.39,4.49000000000001
2024,2,43,Norway,NOR,1484.44,1473.5,10.9400000000001
2024,2,44,Nigeria,NGA,1482.23,1503.29,-21.06
2024,2,45,Scotland,SCO,1480.24,1461.34,18.9000000000001
2024,2,46,Côte d'Ivoire,CIV,1478.47,1493.57,-15.1
2024,2,47,Venezuela,VEN,1475.71,1482.47,-6.76
2024,2,48,Qatar,QAT,1474.6,1478.6,-4.0
2024,2,49,Cameroon,CMR,1471.49,1472.12,-0.63
2024,2,50,Chile,CHI,1469.44,1455.22,14.22
2024,2,51,Mali,MLI,1466.1,1454.84,11.26
2024,2,52,Tunisia,TUN,1464.42,1478.52,-14.1
2024,2,53,Paraguay,PAR,1458.26,1440.78,17.48
2024,2,54,Costa Rica,CRC,1454.99,1465.57,-10.58
2024,2,55,Slovenia,SVN,1454.25,1459.59,-5.34
2024,2,56,Iraq,IRQ,1442.86,1434.4,8.45999999999981
2024,2,57,South Africa,RSA,1428.87,1415.98,12.8899999999999
2024,2,58,Uzbekistan,UZB,1424.93,1429.26,-4.33
2024,2,59,Saudi Arabia,KSA,1406.56,1422.67,-16.11
2024,2,60,Republic of Ireland,IRL,1400.22,1395.61,4.61000000000013
2024,2,61,Congo DR,COD,1395.77,1431.3,-35.53
2024,2,62,Jamaica,JAM,1390.85,1405.36,-14.51
2024,2,63,United Arab Emirates,UAE,1385.57,1361.34,24.23
2024,2,64,Jordan,JOR,1375.91,1380.75,-4.84
2024,2,65,Albania,ALB,1375.57,1379.29,-3.72
2024,2,66,Burkina Faso,BFA,1373.76,1399.8,-26.04
2024,2,67,North Macedonia,MKD,1368.96,1361.01,7.95000000000005
2024,2,68,Georgia,GEO,1362.21,1365.56,-3.35
2024,2,69,Finland,FIN,1361.53,1374.58,-13.05
2024,2,70,Iceland,ISL,1355.1,1353.18,1.91999999999985
2024,2,71,Northern Ireland,NIR,1349.58,1345.06,4.51999999999998
2024,2,72,Cabo Verde,CPV,1328.51,1340.87,-12.36
2024,2,73,Montenegro,MNE,1326.76,1323.2,3.55999999999995
2024,2,74,Bosnia and Herzegovina,BIH,1326.69,1324.43,2.25999999999999
2024,2,75,Honduras,HON,1325.93,1312.66,13.27
2024,2,76,Israel,ISR,1322.25,1303.65,18.5999999999999
2024,2,77,Ghana,GHA,1320.52,1338.73,-18.21
2024,2,78,Guinea,GUI,1311.88,1312.45,-0.57
2024,2,79,Bolivia,BOL,1308.58,1312.36,-3.78
2024,2,80,Oman,OMA,1306.67,1305.99,0.680000000000064
2024,2,81,Bahrain,BHR,1305.52,1313.8,-8.28
2024,2,82,Bulgaria,BUL,1301.04,1295.11,5.93000000000006
2024,2,83,El Salvador,SLV,1300.81,1297.99,2.81999999999994
2024,2,84,Gabon,GAB,1297.87,1294.11,3.75999999999999
2024,2,85,Angola,ANG,1296.48,1298.75,-2.27
2024,2,86,Haiti,HAI,1287.75,1283.67,4.07999999999993
2024,2,87,Zambia,ZAM,1279.24,1251.84,27.4000000000001
2024,2,88,Uganda,UGA,1270.42,1269.79,0.630000000000109
2024,2,89,New Zealand,NZL,1269.83,1258.11,11.72
2024,2,90,China PR,CHN,1266.38,1257.29,9.09000000000015
2024,2,91,Curaçao,CUW,1264.78,1260.87,3.91000000000008
2024,2,92,Luxembourg,LUX,1256.42,1262.08,-5.66
2024,2,93,Equatorial Guinea,EQG,1256.2,1266.68,-10.48
2024,2,94,Benin,BEN,1250.99,1250.97,0.0199999999999818
2024,2,95,Syria,SYR,1249.47,1252.19,-2.72
2024,2,96,Mozambique,MOZ,1232.7,1229.01,3.69000000000005
2024,2,97,Thailand,THA,1228.24,1231.75,-3.51
2024,2,98,Belarus,BLR,1226.31,1231.1,-4.79
2024,2,99,Kosovo,KOS,1219.82,1218.22,1.59999999999991
2024,2,100,Armenia,ARM,1219.15,1222.74,-3.59
